num_res,num_rot,alpha,p,shots,mean_iter,mean_shots,num_qubits
4,5,0.2,4,25,10.0,250.0,20
4,5,0.2,4,30,5.0,150.0,20
4,5,0.2,4,35,19.0,665.0,20
4,5,0.2,5,30,13.0,390.0,20
4,5,0.2,5,40,3.0,120.0,20
4,5,0.2,6,35,6.0,210.0,20
4,5,0.2,6,40,23.0,920.0,20
4,5,0.2,7,25,1.0,25.0,20
4,5,0.2,7,35,3.0,105.0,20
4,5,0.2,7,40,4.0,160.0,20
5,5,0.2,5,25,34.0,850.0,25
3,3,0.2,1,10,5.0,50.0,9
3,3,0.2,1,15,2.0,30.0,9
3,3,0.2,1,20,2.0,40.0,9
3,3,0.2,1,25,1.0,25.0,9
3,3,0.2,1,30,6.0,180.0,9
3,3,0.2,1,35,8.0,280.0,9
3,3,0.2,2,10,4.0,40.0,9
3,3,0.2,2,15,3.0,45.0,9
3,3,0.2,2,20,1.0,20.0,9
3,3,0.2,2,25,1.0,25.0,9
3,3,0.2,2,30,2.0,60.0,9
3,3,0.2,2,35,2.0,70.0,9
3,3,0.2,3,10,11.0,110.0,9
3,3,0.2,3,15,5.0,75.0,9
3,3,0.2,3,20,2.0,40.0,9
3,3,0.2,3,25,4.0,100.0,9
3,3,0.2,3,30,1.0,30.0,9
3,3,0.2,3,35,2.0,70.0,9
3,3,0.2,4,10,1.0,10.0,9
3,3,0.2,4,15,1.0,15.0,9
3,3,0.2,4,20,1.0,20.0,9
3,3,0.2,4,25,1.0,25.0,9
3,3,0.2,4,30,1.0,30.0,9
3,3,0.2,4,35,1.0,35.0,9
3,3,0.2,5,10,1.0,10.0,9
3,3,0.2,5,15,1.0,15.0,9
3,3,0.2,5,20,1.0,20.0,9
3,3,0.2,5,25,1.0,25.0,9
3,3,0.2,5,30,1.0,30.0,9
3,3,0.2,5,35,1.0,35.0,9
3,3,0.2,6,10,1.0,10.0,9
3,3,0.2,6,15,1.0,15.0,9
3,3,0.2,6,20,1.0,20.0,9
3,3,0.2,6,25,1.0,25.0,9
3,3,0.2,6,30,1.0,30.0,9
3,3,0.2,6,35,1.0,35.0,9
3,3,0.2,7,10,1.0,10.0,9
3,3,0.2,7,15,1.0,15.0,9
3,3,0.2,7,20,1.0,20.0,9
3,3,0.2,7,25,1.0,25.0,9
3,3,0.2,7,30,4.0,120.0,9
3,3,0.2,7,35,1.0,35.0,9
3,4,0.2,1,10,7.0,70.0,12
3,4,0.2,1,15,2.0,30.0,12
3,4,0.2,1,20,3.0,60.0,12
3,4,0.2,1,25,3.0,75.0,12
3,4,0.2,1,30,1.0,30.0,12
3,4,0.2,1,35,3.0,105.0,12
3,4,0.2,2,10,11.0,110.0,12
3,4,0.2,2,15,1.0,15.0,12
3,4,0.2,2,20,1.0,20.0,12
3,4,0.2,2,25,2.0,50.0,12
3,4,0.2,2,30,4.0,120.0,12
3,4,0.2,2,35,2.0,70.0,12
3,4,0.2,3,10,2.0,20.0,12
3,4,0.2,3,15,4.0,60.0,12
3,4,0.2,3,20,2.0,40.0,12
3,4,0.2,3,25,5.0,125.0,12
3,4,0.2,3,30,2.0,60.0,12
3,4,0.2,3,35,1.0,35.0,12
3,4,0.2,4,10,2.0,20.0,12
3,4,0.2,4,15,2.0,30.0,12
3,4,0.2,4,20,7.0,140.0,12
3,4,0.2,4,25,2.0,50.0,12
3,4,0.2,4,30,2.0,60.0,12
3,4,0.2,4,35,1.0,35.0,12
3,4,0.2,5,10,5.0,50.0,12
3,4,0.2,5,15,8.0,120.0,12
3,4,0.2,5,20,1.0,20.0,12
3,4,0.2,5,25,1.0,25.0,12
3,4,0.2,5,30,1.0,30.0,12
3,4,0.2,5,35,4.0,140.0,12
3,4,0.2,6,10,9.0,90.0,12
3,4,0.2,6,15,3.0,45.0,12
3,4,0.2,6,20,3.0,60.0,12
3,4,0.2,6,25,10.0,250.0,12
3,4,0.2,6,30,1.0,30.0,12
3,4,0.2,6,35,3.0,105.0,12
3,4,0.2,7,10,1.0,10.0,12
3,4,0.2,7,15,1.0,15.0,12
3,4,0.2,7,20,3.0,60.0,12
3,4,0.2,7,25,1.0,25.0,12
3,4,0.2,7,30,1.0,30.0,12
3,4,0.2,7,35,2.0,70.0,12
3,5,0.2,1,10,21.0,210.0,15
3,5,0.2,1,15,4.0,60.0,15
3,5,0.2,1,20,10.0,200.0,15
3,5,0.2,1,25,2.0,50.0,15
3,5,0.2,1,30,6.0,180.0,15
3,5,0.2,2,15,19.0,285.0,15
3,5,0.2,2,25,1.0,25.0,15
3,5,0.2,2,30,21.0,630.0,15
3,5,0.2,2,35,17.0,595.0,15
3,5,0.2,3,15,13.0,195.0,15
3,5,0.2,3,20,18.0,360.0,15
3,5,0.2,3,25,13.0,325.0,15
3,5,0.2,3,30,1.0,30.0,15
3,5,0.2,3,35,19.0,665.0,15
3,5,0.2,4,10,40.0,400.0,15
3,5,0.2,4,15,29.0,435.0,15
3,5,0.2,4,25,18.0,450.0,15
3,5,0.2,4,30,15.0,450.0,15
3,5,0.2,4,35,5.0,175.0,15
3,5,0.2,5,10,25.0,250.0,15
3,5,0.2,5,15,3.0,45.0,15
3,5,0.2,5,20,5.0,100.0,15
3,5,0.2,5,25,31.0,775.0,15
3,5,0.2,5,30,30.0,900.0,15
3,5,0.2,5,35,9.0,315.0,15
3,5,0.2,6,10,42.0,420.0,15
3,5,0.2,6,15,7.0,105.0,15
3,5,0.2,6,20,3.0,60.0,15
3,5,0.2,6,25,17.0,425.0,15
3,5,0.2,6,30,5.0,150.0,15
3,5,0.2,6,35,51.0,1785.0,15
