num_res,num_rot,num_qubits,ground_state,cpu_calls_mean,std_cpu_calls,successful_runs,total_runs,convergence_ratio
5,2,10,-3.17943874001503,124848.4,115527.20518319483,500,500,1.0
5,3,15,-25.632219582796097,1900156.5,1091219.585152434,500,500,1.0
5,4,20,-41.59553128480911,7913434.710743802,3161685.419731163,484,500,0.97
5,5,25,-56.03688323218376,18153290.404040404,5756144.212219234,495,500,0.99
5,6,30,-75.36597106279805,30891052.8,7321062.98868492,500,500,1.0
5,7,35,-92.58937311638148,53247743.85,12847306.7117095,500,500,1.0
5,8,40,-104.42886861832812,86599527.49490835,19921959.394639567,491,500,0.982
5,9,45,-123.93904180312528,137588285.26490065,27141902.975734606,453,500,0.906
5,10,50,-142.05236631073058,193623656.97674417,36279546.76417984,430,500,0.86
