num_res,num_rot,num_qubits,alpha,p,min_iter,shots,min_shots
4,4,16,1.0,2.0,6.0,20.0,120.0
4,4,16,0.2,3.0,3.0,15.0,45.0
4,4,16,0.2,4.0,19.0,15.0,285.0
4,4,16,0.2,5.0,2.0,15.0,30.0
4,4,16,1.0,5.0,10.0,15.0,150.0
8,2,16,0.2,5.0,2.0,20.0,40.0
4,4,16,0.2,6.0,2.0,15.0,30.0
4,4,16,0.2,7.0,1.0,20.0,20.0
6,3,18,0.2,1.0,7.0,10.0,70.0
6,3,18,0.2,2.0,7.0,10.0,70.0
3,6,18,1.0,2.0,13.0,30.0,390.0
6,3,18,1.0,2.0,1.0,30.0,30.0
9,2,18,0.2,2.0,11.0,45.0,495.0
6,3,18,0.2,3.0,2.0,10.0,20.0
6,3,18,0.2,4.0,1.0,10.0,10.0
6,3,18,0.2,5.0,1.0,10.0,10.0
6,3,18,0.2,6.0,1.0,10.0,10.0
5,4,20,0.2,1.0,18.0,10.0,180.0
5,4,20,0.2,2.0,3.0,10.0,30.0
5,4,20,0.2,3.0,14.0,10.0,140.0
4,5,20,1.0,3.0,27.0,30.0,810.0
5,4,20,1.0,3.0,7.0,30.0,210.0
5,4,20,0.2,4.0,3.0,15.0,45.0
4,5,20,1.0,4.0,31.0,25.0,775.0
5,4,20,0.2,5.0,4.0,15.0,60.0
5,4,20,0.2,6.0,3.0,15.0,45.0
5,4,20,0.2,7.0,2.0,20.0,40.0
7,3,21,1.0,3.0,31.0,15.0,465.0
6,4,24,0.2,2.0,2.0,20.0,40.0
6,4,24,0.2,3.0,3.0,15.0,45.0
6,4,24,0.2,4.0,4.0,35.0,140.0
6,4,24,0.2,5.0,2.0,35.0,70.0
6,4,24,0.2,6.0,1.0,35.0,35.0
4,5,20,0.2,2.0,23.0,30.0,690.0
4,5,20,0.2,3.0,72.0,30.0,2160.0
4,5,20,0.2,4.0,7.0,25.0,175.0
4,5,20,0.2,5.0,5.0,25.0,125.0
4,5,20,0.2,7.0,96.0,25.0,2400.0
