num_res,num_rot,num_qubits,ground_state,cpu_calls_mean,std_cpu_calls,successful_runs,total_runs,convergence_ratio
6,2,12,-5.857497677206993,556453.44,419395.0029205479,500,500,1.0
6,3,18,-28.79571735113859,6298720.621276596,2255004.815907235,470,500,0.94
6,4,24,-59.2769879847765,18980847.589743588,5256953.892734288,100,350,0.70
6,5,30,-96.9921099320054,39192259.5,9851189.224297224,200,500,0.4
6,6,36,-145.2143705077469,69774698.82969432,13544219.790817967,458,500,0.916
6,7,42,-176.26580385118723,112399398.72,23475242.914511148,100,500,0.2
6,8,48,-211.2191622853279,170446568.72727272,35715982.53265585,55,500,0.11
6,9,54,-271.7181800920516,260673373.24137932,40126258.38963941,87,500,0.174
