num_res,num_rot,num_qubits,ground_state,cpu_calls_mean,std_cpu_calls,successful_runs,total_runs,convergence_ratio
6,2,12,-5.857497677206993,13063.968,12153.331034369794,500,500,1.0
6,3,18,-28.79571735113859,155414.376,90791.31429621791,500,500,1.0
6,4,24,-59.2769879847765,402973.056,211481.40608521795,500,500,1.0
6,5,30,-96.9921099320054,779740.2,433715.1966947434,500,500,1.0
6,6,36,-145.2143705077469,4221038.304,2219159.07824158,500,500,1.0
6,7,42,-176.26580385118723,6189353.856,4173317.210926803,500,500,1.0
6,8,48,-211.2191622853279,9195402.24,4616931.640623255,500,500,1.0
