num_res,num_rot,num_qubits,ground_state,cpu_calls_mean,std_cpu_calls,successful_runs,total_runs,convergence_ratio
5,2,10,-3.17943874001503,169344.4,171626.42974973287,500,500,1.0
5,3,15,-25.632219582796097,3535941.9042769857,2003543.568172798,491,500,0.98
5,4,20,-41.59553128480911,8870875.268817205,6086000.268157407,185,500,0.37
5,5,25,-56.03688323218376,10621328.671328671,12965546.443543894,145,500,0.29

